,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
106,brujo mayor de catemaco,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,52,3,0,39406,5.77,13135.33,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679509+00:00
107,brujo mayor de mexico,23009021436,Pagina 5 - Ruben,183136454097,gen1,10,0,0,0,0,0,0,0,,,,,,,,,
108,brujo mayor de mexico,23009021436,Pagina 5 - Ruben,183136454377,gpt1,9,0,0,0,0,0,0,0,,,,,,,,,
109,brujo mayor en catemaco veracruz geronimo,23009021436,Pagina 5 - Ruben,183136454577,nuevo,1,0,0,0,0,0,0,0,,,,,,,,,
110,brujo peruano,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,0,0,0,0,0,0,0,,,,,,,,,
112,brujos amarres de amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.80892+00:00
113,brujos amarres de amor,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,1,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679511+00:00
117,brujos cerca de mi,23009021436,Pagina 5 - Ruben,183136454817,brujos cerca de mi,15,0,0,0,0,0,0,0,,,,,,,,,
118,brujos colombianos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808924+00:00
119,brujos colombianos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,3,0,0,0,0,0,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679516+00:00
121,brujos cubanos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,1,0,18513,50,18513,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808926+00:00
122,brujos cubanos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,2,1,0,18513,50,18513,0,0,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679519+00:00
123,brujos cubanos,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,3,0,0,0,0,0,0,0,,,,,,,,,
